Reformulation,LowerBound,Beta,Gamma,Theta,Instance,Simulation
vertex_to_global_color,2.3270549084271615,0.9911624289558805,1.4812271971298854,0.16292541636495295,15_Vertices_0.6_Sparsity,2
"['vertex_to_global_color', 'vertex_unique_color']",2.329082608618725,0.9906152440138362,4.989359205109351,0.6089309878213802,15_Vertices_0.6_Sparsity,2
"['vertex_to_global_color', 'adjacent_vertex']",6.559167272503755,-0.15089405863405503,4.654401095291683,0.5414518048393495,15_Vertices_0.6_Sparsity,2
"['vertex_to_global_color', 'vertex_unique_color', 'adjacent_vertex']",6.897555658985448,-0.24220984112293267,14.052999411441556,0.7177734375,15_Vertices_0.6_Sparsity,2
['vertex_to_global_color'],2.3270549084271615,0.9911624289558805,1.350726550519776,0.16292541636495295,15_Vertices_0.6_Sparsity,2
vertex_unique_color,2.3161105383101224,0.9941158214510433,5.009475740686478,0.576711827169535,15_Vertices_0.6_Sparsity,2
adjacent_vertex,2.295347791578527,0.9997187515164833,2.7443982655871233,0.4965156794425087,15_Vertices_0.6_Sparsity,2
vertex_to_global_color,2.3270549084271615,0.9911624289558805,1.4812271971298854,0.16292541636495295,15_Vertices_0.6_Sparsity,2
"['vertex_to_global_color', 'vertex_unique_color']",2.329082608618725,0.9906152440138362,4.989359205109351,0.6089309878213802,15_Vertices_0.6_Sparsity,2
"['vertex_to_global_color', 'adjacent_vertex']",6.559167272503755,-0.15089405863405503,4.654401095291683,0.5414518048393495,15_Vertices_0.6_Sparsity,2
"['vertex_to_global_color', 'vertex_unique_color', 'adjacent_vertex']",6.897555658985448,-0.24220984112293267,14.052999411441556,0.7177734375,15_Vertices_0.6_Sparsity,2
['vertex_to_global_color'],2.3270549084271615,0.9911624289558805,1.350726550519776,0.16292541636495295,15_Vertices_0.6_Sparsity,2
vertex_unique_color,2.3161105383101224,0.9941158214510433,5.009475740686478,0.576711827169535,15_Vertices_0.6_Sparsity,2
adjacent_vertex,2.295347791578527,0.9997187515164833,2.7443982655871233,0.4965156794425087,15_Vertices_0.6_Sparsity,2
vertex_to_global_color,2.3270549084271615,0.9911624289558805,1.4812271971298854,0.16292541636495295,15_Vertices_0.6_Sparsity,2
"['vertex_to_global_color', 'vertex_unique_color']",2.329082608618725,0.9906152440138362,4.989359205109351,0.6089309878213802,15_Vertices_0.6_Sparsity,2
"['vertex_to_global_color', 'adjacent_vertex']",6.559167272503755,-0.15089405863405503,4.654401095291683,0.5414518048393495,15_Vertices_0.6_Sparsity,2
"['vertex_to_global_color', 'vertex_unique_color', 'adjacent_vertex']",6.897555658985448,-0.24220984112293267,14.052999411441556,0.7177734375,15_Vertices_0.6_Sparsity,2
['vertex_to_global_color'],2.3270549084271615,0.9911624289558805,1.350726550519776,0.16292541636495295,15_Vertices_0.6_Sparsity,2
vertex_unique_color,2.3161105383101224,0.9941158214510433,5.009475740686478,0.576711827169535,15_Vertices_0.6_Sparsity,2
adjacent_vertex,2.295347791578527,0.9997187515164833,2.7443982655871233,0.4965156794425087,15_Vertices_0.6_Sparsity,2
vertex_to_global_color,2.3270549084271615,0.9911624289558805,1.4812271971298854,0.16292541636495295,15_Vertices_0.6_Sparsity,2
"['vertex_to_global_color', 'vertex_unique_color']",2.329082608618725,0.9906152440138362,4.989359205109351,0.6089309878213802,15_Vertices_0.6_Sparsity,2
